ID_ARCs_Master	From_ID_Master_Node	To_ID_Master_Node	Infra_From	Infra_To	Power_Capacity	Definition
3657	3017	5512	Power	TER	1000	CF_Dist_Line
3658	3017	5579	Power	TER	1000	CF_Dist_Line
3659	3017	5517	Power	TER	1000	CF_Dist_Line
1149	2511	3	Power	TER	100	Power_Traffic_Line
1150	2501	11	Power	TER	100	Power_Traffic_Line
1151	2501	12	Power	TER	100	Power_Traffic_Line
1152	2506	14	Power	TER	100	Power_Traffic_Line
1153	2502	16	Power	TER	100	Power_Traffic_Line
1154	2510	17	Power	TER	100	Power_Traffic_Line
1155	3006	18	Power	TER	100	Power_Traffic_Line
1156	3014	19	Power	TER	100	Power_Traffic_Line
1157	2512	20	Power	TER	100	Power_Traffic_Line
1158	3015	21	Power	TER	100	Power_Traffic_Line
1159	2512	22	Power	TER	100	Power_Traffic_Line
1160	2513	23	Power	TER	100	Power_Traffic_Line
1161	2510	25	Power	TER	100	Power_Traffic_Line
1162	2513	27	Power	TER	100	Power_Traffic_Line
1163	3005	28	Power	TER	100	Power_Traffic_Line
1164	3005	29	Power	TER	100	Power_Traffic_Line
1165	3013	37	Power	TER	100	Power_Traffic_Line
1166	3013	40	Power	TER	100	Power_Traffic_Line
1167	3001	46	Power	TER	100	Power_Traffic_Line
1168	3001	50	Power	TER	100	Power_Traffic_Line
1169	3012	55	Power	TER	100	Power_Traffic_Line
1170	3006	66	Power	TER	100	Power_Traffic_Line
1171	3005	68	Power	TER	100	Power_Traffic_Line
1172	2505	69	Power	TER	100	Power_Traffic_Line
1173	2505	70	Power	TER	100	Power_Traffic_Line
1174	3005	72	Power	TER	100	Power_Traffic_Line
1175	3006	73	Power	TER	100	Power_Traffic_Line
1176	3006	106	Power	TER	100	Power_Traffic_Line
1177	3006	107	Power	TER	100	Power_Traffic_Line
1178	3008	108	Power	TER	100	Power_Traffic_Line
1179	3008	109	Power	TER	100	Power_Traffic_Line
1180	3008	110	Power	TER	100	Power_Traffic_Line
1181	3008	111	Power	TER	100	Power_Traffic_Line
1182	3008	112	Power	TER	100	Power_Traffic_Line
1183	3005	113	Power	TER	100	Power_Traffic_Line
1184	3005	114	Power	TER	100	Power_Traffic_Line
1185	3005	115	Power	TER	100	Power_Traffic_Line
1186	3006	116	Power	TER	100	Power_Traffic_Line
1187	3005	117	Power	TER	100	Power_Traffic_Line
1188	3008	118	Power	TER	100	Power_Traffic_Line
1189	3008	119	Power	TER	100	Power_Traffic_Line
1190	3006	120	Power	TER	100	Power_Traffic_Line
1191	3005	121	Power	TER	100	Power_Traffic_Line
1192	3008	122	Power	TER	100	Power_Traffic_Line
1193	3005	123	Power	TER	100	Power_Traffic_Line
1194	3008	124	Power	TER	100	Power_Traffic_Line
1195	3008	125	Power	TER	100	Power_Traffic_Line
1196	3008	126	Power	TER	100	Power_Traffic_Line
1197	3005	127	Power	TER	100	Power_Traffic_Line
1198	3008	128	Power	TER	100	Power_Traffic_Line
1199	3008	129	Power	TER	100	Power_Traffic_Line
1200	3005	130	Power	TER	100	Power_Traffic_Line
1201	3005	131	Power	TER	100	Power_Traffic_Line
1202	3010	75	Power	TER	100	Power_Traffic_Line
1203	2504	77	Power	TER	100	Power_Traffic_Line
1204	3004	78	Power	TER	100	Power_Traffic_Line
1205	3015	90	Power	TER	100	Power_Traffic_Line
1206	2506	91	Power	TER	100	Power_Traffic_Line
1207	3008	94	Power	TER	100	Power_Traffic_Line
1208	3008	95	Power	TER	100	Power_Traffic_Line
1209	2502	97	Power	TER	100	Power_Traffic_Line
1210	2502	98	Power	TER	100	Power_Traffic_Line
1211	3012	99	Power	TER	100	Power_Traffic_Line
1212	3004	103	Power	TER	100	Power_Traffic_Line
1213	3004	104	Power	TER	100	Power_Traffic_Line
1214	2509	135	Power	TER	100	Power_Traffic_Line
