ID_Master_Node	Definition	Infras_Type	Power_Use	Node_Type	MinGX	MinGY		
237	Intersection	TER	0	1	33432326	25533138		
238	Intersection	TER	0	1	33613341	24671161		
239	Intersection	TER	0	1	33393490	24724361		
240	Intersection	TER	22	1	33477131	25288569		
241	Intersection	TER	0	1	33388937	25172199		
242	Intersection	TER	0	1	34178638	25213511		
243	Intersection	TER	0	1	34191155	25339577		
244	Intersection	TER	0	1	34030026	25369889		
245	Intersection	TER	0	1	33939472	25386977		
246	Intersection	TER	0	1	33233988	25389025		
247	Intersection	TER	0	1	32969600	24391693		
248	Intersection	TER	0	1	33906624	25531318		
249	Intersection	TER	0	1	34849289	25258801		
250	Intersection	TER	0	1	34277310	24661215		
251	Intersection	TER	0	1	34572840	24664584		
252	Intersection	TER	0	1	35075697	24788905		
253	Intersection	TER	0	1	33866455	24886246		
254	Intersection	TER	0	1	34468952	24687694		
255	Intersection	TER	0	1	34472203	24688139		
256	Intersection	TER	0	1	34060933	24343157		
257	Intersection	TER	0	1	34094115	24325388		
258	Intersection	TER	0	1	34118093	24353433		
259	Intersection	TER	0	1	34147636	24389827		
260	Intersection	TER	0	1	34190453	24406311		
261	Intersection	TER	0	1	34226419	24412091		
2000	Steam_Plant	Power	100000	0	33202328	24729871		
2001	Steam_Plant	Power	100000	0	33460864	25242390		
2002	Steam_Plant	Power	100000	0	34127916	25512181		
2003	Steam_Plant	Power	100000	0	35094634	24838587		
2501	Trans_Substation	Power	0	1	33208238	24685396		
2502	Trans_Substation	Power	0	1	33473262	25208599		
2503	Trans_Substation	Power	0	1	34180161	25454431		
2504	Trans_Substation	Power	0	1	35068296	24851528		
2505	Trans_Substation	Power	0	1	33791215	24727469		
2506	Trans_Substation	Power	0	1	33300948	25120214		
2507	Trans_Substation	Power	0	1	35315672	25207944		
2508	Trans_Substation	Power	0	1	34519406	24709733		
2509	Trans_Substation	Power	0	1	33993781	25102207		
2510	Trans_Substation	Power	0	1	33829586	25069806		
2511	Trans_Substation	Power	0	1	34214310	24705982		
2512	Trans_Substation	Power	0	1	34729046	25181783		
2513	Trans_Substation	Power	0	1	34311218	25170673		
3001	Dist_Substation	Power	0	1	33561708	24554996		
3002	Dist_Substation	Power	0	1	33016639	25012995		
3003	Dist_Substation	Power	0	1	35417840	25148969		
3004	Dist_Substation	Power	0	1	35348732	25040856		
3005	Dist_Substation	Power	0	1	33992181	24980172		
3006	Dist_Substation	Power	0	1	33931627	24899160		
3007	Dist_Substation	Power	0	1	33749506	24919544		
3008	Dist_Substation	Power	0	1	33911450	25051569		
3009	Dist_Substation	Power	0	1	34218693	24801135		
3010	Dist_Substation	Power	0	1	34417408	24923569		
3011	Dist_Substation	Power	0	1	33981116	24784328		
3012	Dist_Substation	Power	0	1	33441451	24913691		
3013	Dist_Substation	Power	0	1	33158495	24479062		
3014	Dist_Substation	Power	0	1	34212384	24994196		
3015	Dist_Substation	Power	0	1	34554952	25029451		
3016	Dist_Substation	Power	0	1	34577976	25337739		
3017	Dist_Substation	Power	0	1	34231101	24402228		
4001	Central_Office	Comm	300	1	33290754	24694585		
4002	Central_Office	Comm	300	1	33158294	24363256		
4003	Central_Office	Comm	300	1	33718206	25178298		
4004	Central_Office	Comm	300	1	33992601	24959145		
4005	Central_Office	Comm	300	1	34102857	24648004		
4006	Central_Office	Comm	300	1	34289754	24969235		
4007	Central_Office	Comm	300	1	34674065	25371126		
4008	Central_Office	Comm	300	1	35292482	25208211		
4009	Central_Office	Comm	300	1	35147731	24823206		
4010	Central_Office	Comm	300	1	33341876	25244192		
4501	Cell_Tower	Comm	250	1	33338569	24558552		
4502	Cell_Tower	Comm	250	1	33178240	24767665		
4503	Cell_Tower	Comm	250	1	33262555	25154520		
4504	Cell_Tower	Comm	250	1	33419636	25315462		
4505	Cell_Tower	Comm	250	1	33829482	25281362		
4506	Cell_Tower	Comm	250	1	33731056	25032541		
4507	Cell_Tower	Comm	250	1	33968111	25111406		
4508	Cell_Tower	Comm	250	1	33967792	24880417		
4509	Cell_Tower	Comm	250	1	34024811	24697479		
4510	Cell_Tower	Comm	250	1	34046257	24589030		
4511	Cell_Tower	Comm	250	1	34280352	25100557		
4512	Cell_Tower	Comm	250	1	34371978	24861481		
4513	Cell_Tower	Comm	250	1	34213146	24883107		
4514	Cell_Tower	Comm	250	1	34713044	25252957		
4515	Cell_Tower	Comm	250	1	34517379	25367021		
4516	Cell_Tower	Comm	250	1	35308837	25319496		
4517	Cell_Tower	Comm	250	1	35098885	24922211		
4518	Cell_Tower	Comm	250	1	33941313	25005813		
4519	Cell_Tower	Comm	250	1	33120185	24437661		
5501	Airport	TER	350	2	34288489	25263095		
5502	Airport	TER	350	2	33421376	24870913		
5503	Bus_Terminal	TER	25	2	35358290	25100786		
5504	Bus_Terminal	TER	25	2	34150764	24652537		
5505	Bus_Terminal	TER	25	2	33166962	24425357		
5506	Bus_Terminal	TER	25	2	33261766	24604865		
5507	Bus_Terminal	TER	25	2	33482137	25108654		
